{\rtf1\ansi\ansicpg1252\cocoartf2512,
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;},
{\colortbl;\red255\green255\blue255;\red76\green76\blue76;},
{\*\expandedcolortbl;;\csgenericrgb\c29804\c29804\c29804;},
\paperw11900\paperh16840\margl1440\margr1440\vieww10800\viewh8400\viewkind0,
\deftab720,
\pard\pardeftab720\ri0\partightenfactor0,
ZIP ,No of cases
20601,43
20602,57
20603,79
20607,25
20613,43
20622,9
20623,14
20634,8
20637,10
20639,24
20640,11
20646,31
20650,10
20653,24
20657,15
20659,23
20678,23
20695,21
20705,86
20706,162
20707,73
20708,56
20710,28
20711,10
20712,26
20714,8
20715,52
20716,56
20720,56
20721,96
20722,22
20723,64
20724,40
20732,12
20735,120
20736,9
20737,55
20740,41
20743,106
20744,139
20745,75
20746,76
20747,126
20748,99
20754,10
20769,25
20770,56
20772,137
20774,131
20781,32
20782,93
20783,127
20784,102
20785,117
20794,53
20814,55
20815,53
20816,21
20817,52
20832,28
20833,8
20841,17
20850,49
20851,19
20852,68
20853,57
20854,73
20855,19
20866,31
20871,21
20872,13
20874,83
20876,47
20877,71
20878,63
20879,44
20882,18
20886,50
20895,33
20901,94
20902,147
20903,65
20904,164
20905,26
20906,153
20910,98
20912,54
21001,8
21009,16
21012,54
21014,18
21015,24
21029,11
21030,32
21032,17
21037,29
21040,34
21042,30
21043,53
21044,65
21045,69
21046,21
21050,13
21054,35
21060,47
21061,73
21074,9
21075,55
21076,41
21085,13
21090,19
21093,44
21104,9
21108,25
21113,28
21114,38
21117,106
21122,65
21128,17
21131,10
21133,139
21136,41
21144,41
21146,31
21157,45
21158,39
21163,8
21201,21
21202,37
21204,23
21205,21
21206,101
21207,87
21208,114
21209,66
21210,8
21211,16
21212,30
21213,53
21214,48
21215,223
21216,47
21217,47
21218,85
21219,10
21220,47
21221,43
21222,66
21223,26
21224,99
21225,53
21227,48
21228,55
21229,76
21230,43
21231,30
21234,127
21236,49
21237,54
21239,72
21244,85
21286,30
21401,63
21403,33
21409,21
21502,13
21601,11
21613,9
21620,9
21632,10
21701,101
21702,99
21703,112
21704,27
21740,47
21742,24
21770,8
21771,107
21774,21
21784,29
21788,11
21793,9
21797,14
21801,23
21804,31
21811,11
21911,25
21921,41